method,rows,min_sec,max_sec,mean_sec,median_sec,stdev_sec,rows_per_sec
pyodbc_executemany,1000,0.7992525000008754,0.8585955000016838,0.8224643333426988,0.8095450000255369,0.031710878138171014,1235.2617828143652
pyodbc_fast_executemany,1000,0.05107360001420602,0.12132330000167713,0.07670343333544831,0.05771339999046177,0.038784289498651384,17326.99858551513
pymssql_executemany,1000,0.781398699968122,0.8987953999894671,0.829905633329569,0.8095228000311181,0.06129511574285309,1235.295658085924
sa_to_sql_default,1000,0.045351299981120974,0.06824239995330572,0.058851133314116545,0.06295970000792295,0.011985860615418092,15883.176061419581
sa_to_sql_fast_executemany,1000,0.04621150001185015,0.0548314000479877,0.05144746667550256,0.05329949996666983,0.004598716086251133,18761.902093365556
sa_to_sql_multi,1000,0.1390174999833107,0.16964640002697706,0.1511136000044644,0.1446769000031054,0.01629741420139549,6911.953463051362
sa_core_executemany,1000,0.05349510000087321,0.09014370001386851,0.0684144666690069,0.06160459999227896,0.01924995282706524,16232.554064555767
bulk_insert_tsql,1000,0.0791118000051938,0.09027389995753765,0.0852480999698552,0.08635859994683415,0.0056633052615660175,11579.622650386187
tvp_pyodbc,1000,0.013871399976778775,0.014141499996185303,0.013965299993287772,0.013883000006899238,0.0001527038668158613,72030.54091356654
bcp_cli,1000,0.09833340003388003,0.11974819999886677,0.10705869999947026,0.103094499965664,0.011244313043317552,9699.83850091958
mssql_python_executemany,1000,0.06008470000233501,0.06709790002787486,0.06271660001948476,0.060967200028244406,0.0038198879429339064,16402.262192403912
bcpandas_bcp,1000,0.18858160002855584,0.19478999997954816,0.19156020000809804,0.1913090000161901,0.0031118135491737375,5227.145612152967
arrowsqlbcpy,1000,0.03487560001667589,0.04009070002939552,0.03747960001540681,0.03747250000014901,0.0026075572560021708,26686.236573381106
pyodbc_executemany,10000,7.277414400014095,8.652284699957818,7.769350499981859,7.378352399973664,0.7663071975874618,1355.3161272204472
pyodbc_fast_executemany,10000,0.23012360004941002,0.24301709997234866,0.23704483334828788,0.237993800023105,0.006498922093558269,42017.9013025935
pymssql_executemany,10000,6.568290999974124,7.395481000014115,6.852831033330101,6.594721100002062,0.47013442471647776,1516.3643539067746
sa_to_sql_default,10000,0.3576147999847308,0.47752940002828836,0.42751700000371784,0.4474067999981344,0.062382537089838,22351.023721681697
sa_to_sql_fast_executemany,10000,0.27099019999150187,0.34287039999617264,0.3061149666512695,0.30448429996613413,0.03596783415159128,32842.41585235178
sa_to_sql_multi,10000,1.3829351000022143,1.6232734000077471,1.499465733320297,1.4921886999509297,0.12033428864368433,6701.565291527035
sa_core_executemany,10000,0.2534099000040442,0.2695831999881193,0.2590526999944511,0.2541649999911897,0.009127492349223417,39344.52029330017
bulk_insert_tsql,10000,0.13618730002781376,0.1458917999989353,0.14154620001014942,0.1425595000036992,0.004930964670332828,70146.14950066824
tvp_pyodbc,10000,0.026561499980743974,0.02973449998535216,0.028221166673271608,0.028367500053718686,0.0015915534395632735,352516.0828787626
bcp_cli,10000,0.23817009996855631,0.24819650000426918,0.24312193332783258,0.2429992000106722,0.005014326676573001,41152.39885382673
mssql_python_executemany,10000,0.36889899999368936,0.4186510000145063,0.3862909666883449,0.371322900056839,0.028050804632518866,26930.738714119932
bcpandas_bcp,10000,0.3269033000105992,0.40901609999127686,0.36884946667123586,0.3706290000118315,0.04108531409578626,26981.15905576944
arrowsqlbcpy,10000,0.1156362000037916,0.11858259997097775,0.1175417000000986,0.11840630002552643,0.0016525640969826268,84454.96563818112
pyodbc_executemany,100000,115.30873699998483,142.97726810001768,125.34988393333818,117.76364670001203,15.315030193525551,849.1584865296957
pyodbc_fast_executemany,100000,3.280390100029763,3.5680686999694444,3.453667200015237,3.5125428000465035,0.1526089657428262,28469.40398809548
pymssql_executemany,100000,179.22445089998655,199.5514148999937,188.58378633332904,186.9754932000069,10.258475591744366,534.8294489750613
sa_to_sql_default,100000,5.9096744999988005,6.482155099976808,6.132693966656613,6.00625229999423,0.3064704400738604,16649.31724564685
sa_to_sql_fast_executemany,100000,5.274837400007527,6.561533400032204,5.785196666663978,5.519219199952204,0.6833408071516622,18118.504878528107
sa_to_sql_multi,100000,30.394315299985465,32.88118039997062,31.452988133319497,31.083468700002413,1.2839520883118167,3217.144166409981
sa_core_executemany,100000,5.274938900023699,6.128508299996611,5.597598200004238,5.389347399992403,0.46332653379847144,18555.122276983104
bulk_insert_tsql,100000,1.8332782000070438,2.3515684999874793,2.0384262666727104,1.9304321000236087,0.27550546961199873,51801.873787105505
tvp_pyodbc,100000,0.3283044999698177,0.41818370000692084,0.3769597666687332,0.3843911000294611,0.04539808571367411,260151.70484523615
bcp_cli,100000,2.6794003999675624,3.2986540000420064,2.944305200013332,2.8548612000304274,0.31916911998342856,35027.97263801623
mssql_python_executemany,100000,7.601579500013031,8.74406940001063,8.194685700019667,8.238408200035337,0.5724985027533666,12138.267195788025
bcpandas_bcp,100000,3.9976036000298336,4.405528500035871,4.20360393335189,4.207679699989967,0.2039929898709755,23766.06755505616
arrowsqlbcpy,100000,2.040242799965199,2.11536159995012,2.0709683666354977,2.057300699991174,0.03938035501895457,48607.38150744274
